%OpenBCI Raw EXG Data
%Number of channels = 4
%Sample Rate = 200 Hz
%Board = OpenBCI_GUI$BoardGanglionNative
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Marker Channel, Timestamp (Formatted)
48.0, -491.5986294755712, -560.0967671140097, -339.1733969314955, -338.5955823883414, -0.43200002051889896, 0.0, 0.9120000433176756, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740161003455805E9, 0.0, 2025-02-21 12:03:23.455
48.0, -484.32826396171004, -559.3787063225172, -371.0784834534861, -360.62733302731067, -0.43200002051889896, 0.0, 0.9120000433176756, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740161003455815E9, 0.0, 2025-02-21 12:03:23.455
49.0, -479.24573992192745, -556.2633696594276, -337.370765152853, -335.3830083264038, -0.43200002051889896, 0.0, 0.9120000433176756, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740161003455833E9, 0.0, 2025-02-21 12:03:23.455
49.0, -488.9433005070314, -569.2183831059374, -345.475128356833, -346.7934430912137, -0.43200002051889896, 0.0, 0.9120000433176756, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740161003455843E9, 0.0, 2025-02-21 12:03:23.455
50.0, -487.95222701877356, -570.4525500913151, -382.3131429203786, -380.5161209916696, -0.43200002051889896, 0.0, 0.9120000433176756, 0.0, 0.0, 0.0, 0.0, 0.0, 1.74016100345586E9, 0.0, 2025-02-21 12:03:23.455
50.0, -484.07021086476743, -562.2584292883985, -329.60299294488505, -328.35573630966246, -0.43200002051889896, 0.0, 0.9120000433176756, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740161003455871E9, 0.0, 2025-02-21 12:03:23.455
51.0, -487.57823702320457, -572.9582830616273, -355.76733303489164, -354.2059248033911, -0.43200002051889896, 0.0, 0.9120000433176756, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740161003483391E9, 0.0, 2025-02-21 12:03:23.483
51.0, -495.9032543245703, -580.2922268747352, -374.2723580156453, -370.9083180055022, -0.43200002051889896, 0.0, 0.9120000433176756, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740161003483416E9, 0.0, 2025-02-21 12:03:23.483
52.0, -482.87718277890235, -565.3962053512223, -337.3371060532518, -329.784378092736, -0.4480000212788582, 0.0, 0.9120000433176756, 0.0, 0.0, 0.0, 0.0, 0.0, 1.74016100348344E9, 0.0, 2025-02-21 12:03:23.483
52.0, -489.6090026991442, -570.8489794866182, -375.1587143051438, -375.56075355038047, -0.4480000212788582, 0.0, 0.9120000433176756, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740161003483451E9, 0.0, 2025-02-21 12:03:23.483
53.0, -488.5693105114624, -573.227555858437, -341.7763673006557, -341.99889134801924, -0.4480000212788582, 0.0, 0.9120000433176756, 0.0, 0.0, 0.0, 0.0, 0.0, 1.74016100351194E9, 0.0, 2025-02-21 12:03:23.511
53.0, -509.86056095920503, -583.9348894315772, -348.8896570163779, -361.30051501933485, -0.4480000212788582, 0.0, 0.9120000433176756, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740161003511969E9, 0.0, 2025-02-21 12:03:23.511
54.0, -500.00218467600644, -575.9950818256475, -379.5680563529022, -379.0725196087733, -0.4480000212788582, 0.0, 0.9120000433176756, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740161003513297E9, 0.0, 2025-02-21 12:03:23.513
54.0, -479.06248482409865, -558.3427540347911, -337.86443194700405, -333.004431954585, -0.4480000212788582, 0.0, 0.9120000433176756, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740161003513322E9, 0.0, 2025-02-21 12:03:23.513
